,word,category,top10_cosine_similarity
1,women,feminine,"('age', 0.8154706358909607)"
2,girl,feminine,"('alone', 0.9437832832336426)"
1,women,feminine,"('america', 0.8551653623580933)"
3,girls,feminine,"('beach', 0.939639687538147)"
3,boys,masculine,"('ben', 0.9528111219406128)"
3,boys,masculine,"('blacksmith', 0.9571219682693481)"
1,men,masculine,"('boy', 0.9055866003036499)"
0,woman,feminine,"('boy', 0.9315142631530762)"
1,men,masculine,"('caption', 0.9185837507247925)"
0,man,masculine,"('caption', 0.9189491271972656)"
0,woman,feminine,"('caption', 0.9194698929786682)"
3,boys,masculine,"('climbing', 0.9603325128555298)"
2,girl,feminine,"('clothes', 0.9491917490959167)"
3,girls,feminine,"('dancing', 0.9324654340744019)"
2,girl,feminine,"('dancing', 0.9403699040412903)"
1,men,masculine,"('dog', 0.8800363540649414)"
0,woman,feminine,"('dog', 0.8953880071640015)"
0,man,masculine,"('dog', 0.9054349660873413)"
2,boy,masculine,"('dog', 0.9345197081565857)"
2,girl,feminine,"('dress', 0.9457703828811646)"
1,men,masculine,"('dressed', 0.8780301809310913)"
0,woman,feminine,"('dressed', 0.8984874486923218)"
2,boy,masculine,"('dressed', 0.9653505086898804)"
1,men,masculine,"('drunk', 0.8826960325241089)"
1,men,masculine,"('engraving', 0.8756065964698792)"
0,man,masculine,"('engraving', 0.8874209523200989)"
1,women,feminine,"('europe', 0.8092697262763977)"
3,girls,feminine,"('everybody', 0.9425857067108154)"
2,boy,masculine,"('flute', 0.9533085823059082)"
3,boys,masculine,"('geordie', 0.9618039727210999)"
2,girl,feminine,"('go', 0.9416095018386841)"
2,girl,feminine,"('guides', 0.9532991647720337)"
3,boys,masculine,"('heaven', 0.9558923244476318)"
0,woman,feminine,"('holding', 0.9017919898033142)"
2,boy,masculine,"('horse', 0.9376081824302673)"
0,man,masculine,"('illustration', 0.9022608399391174)"
1,women,feminine,"('ireland', 0.8998798727989197)"
2,girl,feminine,"('jennings', 0.941145658493042)"
3,girls,feminine,"('jerusalem', 0.9277876019477844)"
0,woman,feminine,"('man', 0.9177287817001343)"
0,man,masculine,"('men', 0.8708451986312866)"
3,girls,feminine,"('moss', 0.9390276670455933)"
0,woman,feminine,"('older', 0.8947370052337646)"
2,boy,masculine,"('older', 0.9504570960998535)"
3,boys,masculine,"('owl', 0.9542409181594849)"
1,women,feminine,"('parents', 0.8109519481658936)"
3,boys,masculine,"('passage', 0.9626227617263794)"
1,women,feminine,"('peace', 0.8253758549690247)"
2,girl,feminine,"('playing', 0.950537919998169)"
1,women,feminine,"('politics', 0.8094772100448608)"
2,girl,feminine,"('pony', 0.9445487856864929)"
3,boys,masculine,"('pope', 0.962393581867218)"
0,man,masculine,"('rabbit', 0.8697535395622253)"
0,woman,feminine,"('reads', 0.9011154770851135)"
1,men,masculine,"('reads', 0.9148613214492798)"
0,man,masculine,"('reads', 0.9154253005981445)"
0,woman,feminine,"('sitting', 0.9269306063652039)"
2,boy,masculine,"('sitting', 0.9331152439117432)"
1,men,masculine,"('smartly', 0.8870782852172852)"
3,boys,masculine,"('stalin', 0.9534667134284973)"
3,girls,feminine,"('stockton', 0.9396223425865173)"
3,girls,feminine,"('stood', 0.9327265024185181)"
1,women,feminine,"('suffrage', 0.814085066318512)"
2,boy,masculine,"('suit', 0.9444367289543152)"
3,boys,masculine,"('tails', 0.9543190598487854)"
0,woman,feminine,"('talking', 0.9053585529327393)"
1,men,masculine,"('talking', 0.9092503786087036)"
2,boy,masculine,"('talking', 0.9453973770141602)"
0,man,masculine,"('tambourine', 0.8744469881057739)"
2,girl,feminine,"('tea', 0.9449306726455688)"
1,women,feminine,"('teaching', 0.8652475476264954)"
1,men,masculine,"('uniform', 0.8723263740539551)"
2,boy,masculine,"('uniform', 0.938615083694458)"
1,women,feminine,"('vacation', 0.9031078219413757)"
3,girls,feminine,"('violin', 0.9265766739845276)"
0,man,masculine,"('watercolour', 0.8776584267616272)"
3,girls,feminine,"('westwood', 0.9287002086639404)"
0,man,masculine,"('woman', 0.9177286624908447)"
2,boy,masculine,"('woman', 0.9315142035484314)"
3,girls,feminine,"('wwi', 0.9308459162712097)"
